pacote,total,php,blade,migrations,seeders,commands
Guia-Digital-da-Cidade-Visite-Sumare-4.3-FONTES-OFICIAIS,139,32,0,0,0,0
ENTREGA_COMPLETA_CONHECA_SUA_CIDADE_HOJE,163,31,0,0,0,0
Guia-Digital-da-Cidade-Visite-Sumare-4.1-TESTE,147,31,0,0,0,0
Guia-Digital-da-Cidade-Visite-Sumare-4.0-RC,145,30,0,0,0,0
conheca-sumare-beta-1.2-rc-hostgator,142,30,0,0,0,0
02_app_conheca_sumare_hostgator,131,30,0,0,0,0
Guia-Digital-da-Cidade-Visite-Sumare-4.1-RC1-Atualizada,146,30,0,0,0,0
Sumare-Turismo-Piloto-Secretaria-3.6-Landing-App,143,29,0,0,0,0
conheca-sumare-beta-1.1-landing-captacao,140,29,0,0,0,0
Visite-Sumare-Piloto-Secretaria-3.3-Conteudo-Institucional,134,26,0,0,0,0
Visite-Sumare-Piloto-Secretaria-3.2-Acabamento-Institucional,133,26,0,0,0,0
Sumare-Turismo-Piloto-Secretaria-3.4-Atualizacao-App,135,26,0,0,0,0
Sumare-Turismo-Piloto-Secretaria-3.5-Curadoria-Google,136,26,0,0,0,0
CONHECA_SUMARE_2.0_MODULO_VITRINE_AI_PRO,34,12,0,0,0,0
01_landing_page_conheca_sua_cidade_hostgator,8,1,0,0,0,0
BUILD_HOMOLOGACAO_FINAL_1.0_RC1_CONHECA_SUA_CIDADE,17,0,0,0,0,0
BUILD_HOMOLOGACAO_FINAL_1.0_RC2_CORRIGIDA_CONHECA_SUMARE,5,0,0,0,0,0
BUILD_HOMOLOGACAO_FINAL_1.0_RC2_CORRIGIDA_CONHECA_SUA_CIDADE,3,0,0,0,0,0
Landing-Visite-Sumare-v0.2-SIMPLIFICADA,6,0,0,0,0,0
CONHECA_SUA_CIDADE_2_0_BUILD_INICIAL,10,0,0,0,0,0
Conheca-Sumare-Capa-App-FINAL-v1.0,7,0,0,0,0,0
Landing-Conheca-Sua-Cidade-1.1-URLS-OFICIAIS,5,0,0,0,0,0
Landing-Visite-Sumare-v0.1-Avaliacao,7,0,0,0,0,0
Landing-Conheca-Sua-Cidade-1.2-INTEGRADA-MASTER,5,0,0,0,0,0
Landing-Conheca-Sumare-v0.3,2,0,0,0,0,0
BUILD_HOMOLOGACAO_FINAL_1.0_RC1_CONHECA_SUMARE,19,0,0,0,0,0
03_kit_marketing_conheca_sua_cidade,25,0,0,0,0,0
Conheca-Sua-Cidade-Landing-FINAL-v2.0,5,0,0,0,0,0
